"","state","year","death_rate","gdp","pce","rpp","employment","hc_exp","income","edu_level","diabetes_rate","cardio_rate","smoke_rate","elder_rate"
"179","Utah",2020,42.9,59307.6891453003,35253.6173957796,95.185,650392.154175745,5231.49353566083,49489.0499834794,0.369,0.097,0.075,0.071,0.117
"180","Utah",2021,40.7,62883.5262538285,38986.1019977461,94.592,673840.9272163,5709.83970892869,51357.1418517433,0.368,0.096,0.054,0.065,0.116
"181","Vermont",2018,37.7,52578.4886235141,44245.6090896569,100.3,700977.644236159,8941.98520720484,49613.5230108367,0.387,0.092,0.061,0.137,0.198
"182","Vermont",2019,35.1,53218.2458344618,45026.1142423985,99.456,694630.834838435,9331.89527379489,52268.5496058424,0.387,0.087,0.068,0.151,0.201
"183","Vermont",2020,31,50252.6859057417,40702.1075046703,102.073,636678.265278981,8598.00931103621,52399.6994834288,0.421,0.089,0.071,0.119,0.206
"184","Vermont",2021,38.8,52337.3499935082,44403.0035302919,98.66,651072.998522347,9257.58765448891,54293.8488837229,0.444,0.096,0.072,0.128,0.206
"185","Virginia",2018,27.1,62080.9016424103,38985.9840028909,102.096,623325.576859783,6360.46122904229,51591.22984452,0.393,0.105,0.06,0.149,0.155
"186","Virginia",2019,26.9,63390.4276939692,40090.0050717478,100.152,624399.875391291,6745.43633492,54156.9411303519,0.396,0.109,0.056,0.14,0.159
"187","Virginia",2020,28.7,61810.9294872871,38097.2969167615,101.1,604960.753066849,6289.66391480965,55490.4891129722,0.42,0.126,0.067,0.124,0.163
"188","Virginia",2021,27.5,65018.3976302258,40730.1644322493,102.278,622902.927160862,7051.88010439666,56140.176601079,0.418,0.122,0.065,0.106,0.163
"189","Washington",2018,45.2,74667.1293718697,39745.6415043909,107.175,603126.130983939,7276.77475511602,52164.4382697253,0.367,0.099,0.058,0.12,0.154
"190","Washington",2019,42.2,77339.2876301742,40021.8492892809,108.036,603071.113408947,7584.46638711798,54329.8638602013,0.37,0.094,0.055,0.126,0.159
"191","Washington",2020,42.9,76436.901923361,38496.4664175998,107.899,574277.601941266,6990.63740163653,57136.034280546,0.384,0.098,0.118,0.108,0.162
"192","Washington",2021,45.5,81493.4221447677,41096.0702102963,108.885,591188.057480255,7847.48754803317,58761.0624042001,0.39,0.099,0.059,0.098,0.162
"193","West Virginia",2018,31,42901.3390855466,38186.4677039347,89.207,497749.531533439,8568.57347290432,42967.7363573836,0.213,0.162,0.128,0.252,0.2
"194","West Virginia",2019,32.3,42846.1504552919,39073.6362586328,88.323,491942.904237208,9056.06515536951,44533.7910338828,0.211,0.157,0.119,0.238,0.205
"195","West Virginia",2020,35.9,41281.7206461913,38250.8847729734,87.365,469384.064038584,8713.36704960311,46695.5264538746,0.231,0.171,0.061,0.22,0.209
"196","West Virginia",2021,35.4,42295.9396838803,39159.6089891718,90.763,484176.091527091,9572.8093570186,46277.1754653811,0.241,0.169,0.116,0.199,0.207
"197","Wisconsin",2018,31.7,56622.9397428043,40238.8432976789,93.973,640750.104263418,7822.27039060124,50571.0466945139,0.3,0.087,0.058,0.164,0.17
"198","Wisconsin",2019,30.5,57312.5603484728,40329.0960447126,94.492,638630.68263204,8212.81958713486,51531.7477192528,0.313,0.087,0.054,0.154,0.175
"199","Wisconsin",2020,33.2,54775.7557276455,39520.1306045804,92.657,607502.267110857,7585.30264297554,54455.5703087596,0.318,0.1,0.072,0.131,0.18
"200","Wisconsin",2021,33,56889.7200915426,41959.5853880741,93.347,626684.643682141,8394.6347180091,55560.8143465563,0.325,0.099,0.062,0.113,0.179
"201","Wyoming",2018,41.5,65749.8861670946,42223.9573684949,92.195,700467.97010393,7461.37904885899,60399.3067879038,0.269,0.087,0.058,0.188,0.167
"202","Wyoming",2019,34.4,66622.2037151906,41554.7749581432,93.823,705030.936883919,7678.15273714966,61926.6395857343,0.291,0.078,0.058,0.184,0.171
"203","Wyoming",2020,32.1,62640.2126020377,41866.327334424,91.402,695459.699967971,7496.29937413977,64919.9712606366,0.282,0.097,0.084,0.17,0.178
"204","Wyoming",2021,32.7,63728.35786382,45200.2906038659,91.418,725524.303560243,8148.29770674895,66030.5824329618,0.292,0.099,0.063,0.155,0.179
